GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.book.category.exception,DuplicateCategoryNameException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.book.category.exception,UpdateCategoryRequestException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.category.exception,CreateCategoryRequestException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.category.exception,CategoryNotFoundException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.bookImage,QBookImage,76,0,2,0,16,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.entity.bookImage,BookImage,31,3,0,0,6,1,6,1,6,1
bookstore,com.nhnacademy.bookstore.entity.bookImage,BookImage.BookImageBuilder,47,0,0,0,1,0,7,0,7,0
bookstore,com.nhnacademy.bookstore.book.category.service.impl,CategoryServiceImpl,111,72,6,4,21,20,11,8,7,7
bookstore,com.nhnacademy.bookstore.book.bookCartegory.service.impl,BookCategoryServiceImpl,25,155,4,8,4,31,5,11,1,9
bookstore,com.nhnacademy.bookstore.entity.bookCategory,BookCategory.BookCategoryBuilder,15,23,0,0,0,1,2,4,2,4
bookstore,com.nhnacademy.bookstore.entity.bookCategory,BookCategory,0,26,0,0,0,7,0,4,0,4
bookstore,com.nhnacademy.bookstore.entity.bookCategory,QBookCategory,26,56,2,2,6,9,5,3,3,3
bookstore,com.nhnacademy.bookstore.book.category.repository.impl,CategoryCustomRepositoryImpl,33,212,0,0,5,38,1,6,1,6
bookstore,com.nhnacademy.bookstore.entity.payment,QPayment,94,0,4,0,17,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.entity.payment,Payment,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.global.exceptionHandler,ErrorResponseForm.ErrorResponseFormBuilder,36,0,0,0,1,0,6,0,6,0
bookstore,com.nhnacademy.bookstore.global.exceptionHandler,WebControllerAdvice,73,3,0,0,25,1,4,1,4,1
bookstore,com.nhnacademy.bookstore.global.exceptionHandler,ErrorResponseForm,16,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.entity.bookLike,QBookLike,85,0,4,0,16,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.entity.bookLike,BookLike,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.book.tag.controller,TagController,5,61,0,0,1,10,1,4,1,4
bookstore,com.nhnacademy.bookstore.entity.refund.enums,RefundStatus,0,21,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.member.address.controller,AddressController,118,9,0,0,18,1,6,1,6,1
bookstore,com.nhnacademy.bookstore.member.address.exception,AddressNotExistsException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.entity.cart,QCart,73,0,2,0,15,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.entity.cart,Cart,0,8,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.purchase.purchaseBook.dto.request,DeletePurchaseBookRequest.DeletePurchaseBookRequestBuilder,18,0,0,0,1,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.purchase.purchaseBook.dto.request,DeletePurchaseBookRequest,10,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.entity.tag,Tag,20,18,0,0,2,5,2,4,2,4
bookstore,com.nhnacademy.bookstore.entity.tag,QTag,81,0,0,0,10,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.book.book.exception,BookDoesNotExistException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.book.book.exception,CreateBookRequestFormException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.bookTag.service.Impl,BookTagServiceImpl,49,76,4,0,6,11,3,5,1,5
bookstore,com.nhnacademy.bookstore.entity.coupon.enums,CouponStatus,0,15,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.book.tag.dto.response,TagResponse.TagResponseBuilder,27,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.tag.dto.response,TagResponse,13,0,0,0,2,0,2,0,2,0
bookstore,com.nhnacademy.bookstore.entity.purchase.enums,PurchaseStatus,0,15,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.purchase.enums,MemberType,0,15,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.member.member.controller,MemberController,123,15,0,0,28,1,6,1,6,1
bookstore,com.nhnacademy.bookstore.book.book.dto.request,CreateBookRequest,0,45,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.member.address.service.impl,AddressServiceImpl,62,6,0,0,15,1,4,1,4,1
bookstore,com.nhnacademy.bookstore.book.image.controller,ImageController,44,6,0,0,11,1,2,1,2,1
bookstore,com.nhnacademy.bookstore.book.category.dto.request,CreateCategoryRequest,0,26,0,0,0,6,0,6,0,6
bookstore,com.nhnacademy.bookstore.book.category.dto.request,CreateCategoryRequest.CreateCategoryRequestBuilder,11,16,0,0,0,1,2,3,2,3
bookstore,com.nhnacademy.bookstore.book.category.dto.request,UpdateCategoryRequest.UpdateCategoryRequestBuilder,27,0,0,0,1,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.book.category.dto.request,UpdateCategoryRequest,17,9,0,0,5,1,5,1,5,1
bookstore,com.nhnacademy.bookstore.book.bookImage.service.Impl,BookImageServiceImpl,19,9,0,0,5,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.entity.comment.enums,CommentStatus,0,15,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.bookTag,BookTag,21,12,0,0,4,5,4,2,4,2
bookstore,com.nhnacademy.bookstore.entity.bookTag,QBookTag,79,0,4,0,15,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.book.category.dto.response,CategoryParentWithChildrenResponse.CategoryParentWithChildrenResponseBuilder,37,0,0,0,1,0,6,0,6,0
bookstore,com.nhnacademy.bookstore.book.category.dto.response,CategoryResponse.CategoryResponseBuilder,14,23,0,0,0,1,2,4,2,4
bookstore,com.nhnacademy.bookstore.book.category.dto.response,CategoryChildrenResponse.CategoryChildrenResponseBuilder,6,21,0,0,0,1,1,4,1,4
bookstore,com.nhnacademy.bookstore.book.category.dto.response,CategoryChildrenResponse,3,19,0,0,1,4,1,4,1,4
bookstore,com.nhnacademy.bookstore.book.category.dto.response,CategoryParentWithChildrenResponse,19,22,0,0,3,8,3,5,3,5
bookstore,com.nhnacademy.bookstore.book.category.dto.response,CategoryResponse,7,43,0,0,2,10,2,7,2,7
bookstore,com.nhnacademy.bookstore.book.bookTag.controller,BookTagController,30,51,5,5,5,11,5,3,0,3
bookstore,com.nhnacademy.bookstore,BookStore,5,3,0,0,2,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.member.memberAuth.service,MemberAuthService,21,6,0,0,6,1,2,1,2,1
bookstore,com.nhnacademy.bookstore.entity.coupon,Coupon,0,8,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.coupon,QCoupon,91,0,2,0,18,0,7,0,6,0
bookstore,com.nhnacademy.bookstore.entity.reviewLike,ReviewLike,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.reviewLike,QReviewLike,88,0,4,0,16,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.book.book.controller,BookController,42,6,2,0,6,1,3,1,2,1
bookstore,com.nhnacademy.bookstore.entity.comment,Comment,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.comment,QComment,111,0,4,0,20,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.entity.member.enums,Status,0,21,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.member.enums,Grade,0,27,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.book,Book,95,165,0,0,4,37,9,27,9,27
bookstore,com.nhnacademy.bookstore.entity.book,QBook,103,209,0,0,2,21,1,3,1,3
bookstore,com.nhnacademy.bookstore.entity.member,Member,152,134,0,0,18,19,24,15,24,15
bookstore,com.nhnacademy.bookstore.entity.member,QMember,360,0,0,0,25,0,4,0,4,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.exception,BookCategoryAlreadyExistsException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.book.bookCartegory.exception,BookCategoryNotFoundException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.member.pointRecord.service,PointService,6,6,0,0,1,1,1,1,1,1
bookstore,com.nhnacademy.bookstore.purchase.purchase.controller,PurchaseMemberController,14,97,2,2,2,13,2,6,0,6
bookstore,com.nhnacademy.bookstore.purchase.purchase.controller,PurchaseGuestController,21,80,3,3,3,12,3,5,0,5
bookstore,com.nhnacademy.bookstore.global.config,BCryptEncoderConfig,0,7,0,0,0,2,0,2,0,2
bookstore,com.nhnacademy.bookstore.global.config,ModuleConfig,0,15,0,0,0,4,0,2,0,2
bookstore,com.nhnacademy.bookstore.global.config,AwsS3Config,0,34,0,0,0,7,0,2,0,2
bookstore,com.nhnacademy.bookstore.entity.purchaseBook,PurchaseBook,0,3,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.entity.purchaseBook,QPurchaseBook,94,0,4,0,17,0,8,0,6,0
bookstore,com.nhnacademy.bookstore.book.category.controller,CategoryController,32,46,3,1,5,8,3,6,1,6
bookstore,com.nhnacademy.bookstore.purchase.purchase.service.impl,PurchaseGuestServiceImpl,0,156,0,6,0,39,0,9,0,6
bookstore,com.nhnacademy.bookstore.purchase.purchase.service.impl,PurchaseMemberServiceImpl,15,172,0,8,0,39,3,9,3,5
bookstore,com.nhnacademy.bookstore.entity.pointRecord,QPointRecord,88,0,2,0,18,0,7,0,6,0
